ID;PARENTID;TEXT;LINKTOPICTURE
1;null;Elektronika;https://www.komputronik.pl/category/14508/elektronika.html;/images/categories/elektronika.jpg
2;1;Laptopy | Tablety;https://www.komputronik.pl/category/5803/laptopy-tablety.html;/images/categories/laptopyItablety.jpg
3;2;Laptopy;https://www.komputronik.pl/category/5022/laptopy.html;null
4;2;Laptopy Apple MacBook;https://www.komputronik.pl/category/15251/apple-macbook.html;null
5;2;Microsoft Surface;https://www.komputronik.pl/category/16039/microsoft-surface.html;/images/categories/microsoftsurface.jpg
6;2;Akcesoria do laptopów;https://www.komputronik.pl/category/10218/akcesoria-do-laptopow.html;null
7;2;Tablety;https://www.komputronik.pl/category/8923/tablety.html;/images/categories/tablety.jpg
8;2;Akcesoria do tabletów;https://www.komputronik.pl/category/10219/akcesoria-do-tabletow.html;/images/categories/akcesoriadotabletow.jpg
9;2;Czytniki e-book;https://www.komputronik.pl/category/8011/czytniki-ebook.html;/images/categories/czytnikiksiazekelektronicznych.jpg
10;2;Akcesoria do czytników;https://www.komputronik.pl/category/11357/akcesoria-do-czytnikow-ebookow.html;/images/categories/akcesoriadoczytnikow.jpg
11;1;Komputery | Serwery;https://www.komputronik.pl/category/15245/komputery-serwery.html;/images/categories/komputeryIserwery.jpg
12;11;Komputery PC;https://www.komputronik.pl/category/5801/komputery-pc.html;/images/categories/komputetyPC.jpg
13;11;Komputery Mac;https://www.komputronik.pl/category/12182/komputery-mac.html;/images/categories/komputeryMac.jpg
14;11;Komputery All-In-One;https://www.komputronik.pl/category/6280/komputery-aio.html;/images/categories/komputeryAIO.jpg
15;11;Komputery Mini-PC;https://www.komputronik.pl/category/8338/komputery-mini-pc.html;/images/categories/komputeryMiniPc.jpg
16;11;Intel Extreme Masters;https://www.komputronik.pl/category/15102/komputery-iem.html;/images/categories/intelExtremeMaster.jpg
17;11;PC on stick;https://www.komputronik.pl/category/15593/pc-on-stick.html;/images/categories/PConStick.jpg
18;11;Serwery;https://www.komputronik.pl/category/5802/serwery.html;/images/categories/serwery.jpg
19;11;Stacje Robocze;https://www.komputronik.pl/category/3817/stacje-robocze.html;/images/categories/stacjeRobocze.jpg
20;11;Pakiety Serwisowe;https://www.komputronik.pl/category/17000/pakiety-serwisowe.html;/images/categories/pakietySerwisowe.jpg
21;1;Części PC;https://www.komputronik.pl/category/5805/sprzet-komputerowy.html;/images/categories/czesciPC.jpg
22;21;Akcesoria do dysków twardych;https://www.komputronik.pl/category/17441/akcesoria-do-dyskow-twardych.html;null
23;21;Akcesoria do kart graficznych;https://www.komputronik.pl/category/1209/Sprzet_komputerowy_Podzespoly_Akcesoria_.html;null
24;21;Akcesoria do obudów;https://www.komputronik.pl/category/7965/akcesoria-do-obudow.html;null
25;21;Akcesoria do płyt głównych;https://www.komputronik.pl/category/7197/akcesoria-do-plyt-glownych.html;null
26;21;Chłodzenie;https://www.komputronik.pl/category/3215/chlodzenie.html;null
27;21;Czytniki kart pamięci wewnętrzne;https://www.komputronik.pl/category/4425/czytniki-kart-pamieci-wewnetrzne.html;null
28;21;Dyski;https://www.komputronik.pl/category/857/dyski.html;null
29;21;Karty dźwiękowe;https://www.komputronik.pl/category/1212/karty-dzwiekowe.html;null
30;21;Karty graficzne;https://www.komputronik.pl/category/1099/karty-graficzne.html;null
31;21;Kontrolery PCI;https://www.komputronik.pl/category/996/kontrolery-pci.html;null
32;21;Modding;https://www.komputronik.pl/category/5399/tuning-pc.html;null
33;21;Napędy optyczne;https://www.komputronik.pl/category/1054/napedy-optyczne.html;null
34;21;Obudowy komputerowe;https://www.komputronik.pl/category/2701/obudowy-komputerowe.html;null
35;21;Pamięci RAM;https://www.komputronik.pl/category/437/pamiec-ram.html;null
36;21;Płyty główne;https://www.komputronik.pl/category/757/plyty-glowne.html;null
37;21;Procesory;https://www.komputronik.pl/category/401/procesory.html;null
38;21;Sloty (Brackets);https://www.komputronik.pl/category/17431/sloty-do-komputera.html;null
39;21;Zasilacze do obudów;https://www.komputronik.pl/category/2869/zasilacze-komputerowe.html;null
40;1;Dla graczy;https://www.komputronik.pl/category/8737/dla-graczy.html;/images/categories/dlagraczy.jpg
41;40;Gry;https://www.komputronik.pl/category/17810/gry.html;null
42;40;Sprzęt PC do gier;https://www.komputronik.pl/category/13186/sprzet-pc-do-gier.html;null
43;40;Laptopy do gier;https://www.komputronik.pl/search-filter/5022/laptopy-do-gier;null
44;40;PlayStation 4;https://www.komputronik.pl/category/13188/playstation-4.html;null
45;40;PlayStation 3;https://www.komputronik.pl/category/13187/playstation-3.html;null
46;40;PlayStation Vita;https://www.komputronik.pl/category/13189/playstation-vita.html;null
47;40;Karty PSN;https://www.komputronik.pl/category/17689/karty-psn.html;null
48;40;Xbox ONE;https://www.komputronik.pl/category/13191/xbox-one.html;null
49;40;Xbox 360;https://www.komputronik.pl/category/13190/xbox-360.html;null
50;40;Karty Xbox Live/CSV;https://www.komputronik.pl/category/13630/karty-xbox-live-csv.html;null
51;40;Nintendo SWITCH;https://www.komputronik.pl/category/18058/nintendo-switch.html;null
52;40;Nintendo 2DS/3DS;https://www.komputronik.pl/category/17700/nintendo-2ds-3ds.html;null
53;40;Nintendo Classic Mini NES;https://www.komputronik.pl/category/17701/nintendo-classic-mini-nes.html;null
54;40;Fotele gamingowe;https://www.komputronik.pl/category/15588/fotele-gamingowe.html;null
55;40;Biurka gamingowe;https://www.komputronik.pl/category/18696/biurka-gamingowe.html;null
56;40;Artykuły kolekcjonerskie;https://www.komputronik.pl/category/13627/artykuly-kolekcjonerskie.html;null
57;40;Pady do smartfonów;https://www.komputronik.pl/category/18422/pady-do-smartfonow.html;null
58;1;Peryferia PC;https://www.komputronik.pl/category/5810/peryferia-pc.html;/images/categories/peryferiaPC.jpg
59;58;Akcesoria do monitorów;https://www.komputronik.pl/category/1254/akcesoria-do-monitorow.html;null
60;58;Czytniki kart pamięci;https://www.komputronik.pl/category/747/czytniki-kart-pamieci-zewnetrzne.html;null
61;58;Drukowanie;https://www.komputronik.pl/category/1497/drukowanie.html;null
62;58;Dyski zewnętrzne;https://www.komputronik.pl/category/8874/dyski-zewnetrzne.html;null
63;58;Etui do dysków zewnętrznych;https://www.komputronik.pl/category/7280/etui-do-dyskow-twardych.html;null
64;58;Stacje dyskietek;https://www.komputronik.pl/category/1098/stacje-dyskietek.html;null
65;58;Głośniki;https://www.komputronik.pl/category/3033/glosniki-komputerowe.html;null
66;58;Kamery internetowe;https://www.komputronik.pl/category/1754/kamery-internetowe.html;null
67;58;Karty dźwiękowe (zewn.);https://www.komputronik.pl/category/9513/karty-dzwiekowe-zewnetrzne.html;null
68;58;Karty Video;https://www.komputronik.pl/category/1238/karty-grabbery-wideo.html;null
69;58;Klawiatury;https://www.komputronik.pl/category/6569/klawiatury-pc.html;null
70;58;Klawiatura i mysz - zestawy;https://www.komputronik.pl/category/6583/klawiatura-i-mysz-zestawy.html;null
71;58;Kontrolery do gier PC;https://www.komputronik.pl/category/2998/kontrolery-do-gier-pc.html;null
72;58;Mikrofony;https://www.komputronik.pl/category/8083/mikrofony.html;null
73;58;Monitory;https://www.komputronik.pl/category/1251/monitory.html;null
74;58;Myszki;https://www.komputronik.pl/category/2954/myszki-komputerowe.html;null
75;58;Napędy optyczne zewnętrzne;https://www.komputronik.pl/category/8669/napedy-optyczne-zewnetrzne.html;null
76;58;Pendrive;https://www.komputronik.pl/category/686/pendrive.html;null
77;58;Podkładki pod myszkę;https://www.komputronik.pl/category/2985/podkladki-pod-myszke.html;null
78;58;Prezentery i wskaźniki;https://www.komputronik.pl/category/8142/wskazniki.html;null
79;58;Projektory i ekrany;https://www.komputronik.pl/category/1420/projektory-i-ekrany.html;null
80;58;Skanery;https://www.komputronik.pl/category/1676/skanery.html;null
81;58;Słuchawki;https://www.komputronik.pl/category/8077/sluchawki.html;null
82;58;Storage i Archiwizacja;https://www.komputronik.pl/category/2634/storage-i-archiwizacja.html;null
83;58;Tablety graficzne;https://www.komputronik.pl/category/1743/tablety-graficzne.html;null
84;58;Tunery TV USB;https://www.komputronik.pl/category/1222/tunery-telewizyjne-pc.html;null
85;58;Urządzenia wielofunkcyjne;https://www.komputronik.pl/search-filter/7789/urzadzenia-wielofunkcyjne;null
86;58;Zasilanie awaryjne;https://www.komputronik.pl/category/2664/zasilanie-awaryjne.html;null
87;1;Sieci i komunikacja;https://www.komputronik.pl/category/5809/sieci-komputerowe.html;/images/categories/sieciIkomunikacja.jpg
88;87;Akcesoria sieciowe;https://www.komputronik.pl/category/2467/akcesoria-sieciowe.html;null
